Employee_ID,Job_Title,Industry,Country,Education_Level,Years_Experience,AI_Replacement_Risk,Future_Demand_Score,Remote_Work_Possibility,Average_Salary_USD,Automation_Level,Job_Growth_2030,Work_Hours_Per_Week,Company_Size,AI_Tool_Usage,Performance_Score,Upskilling_Needed,Job_Satisfaction,Hiring_Trend_2026
AIJ-100042,Software Developer,Energy,Germany,Bachelor,2,0.93,0.39,No,174510,Medium,11,59,Enterprise,Moderate,4.46,No,3.9,Growing
AIJ-100043,Business Analyst,Education,Japan,PhD,7,0.74,0.5,No,114352,Low,10,53,Medium,High,4.74,No,2.54,Growing
AIJ-100044,Blockchain Developer,Healthcare,Singapore,PhD,0,0.92,0.46,Hybrid,56309,Low,16,57,Enterprise,Low,2.22,No,2.35,Growing
AIJ-100045,AI Engineer,Government,Canada,Bachelor,20,0.85,0.59,Hybrid,171824,Medium,4,53,Startup,Moderate,4.94,Yes,2.77,Growing
AIJ-100046,Digital Marketer,Media,Australia,Bachelor,5,0.31,0.5,Yes,68160,Low,29,57,Medium,High,4.05,No,4.65,Declining
AIJ-100047,Robotics Engineer,Media,UK,High School,14,0.65,0.91,No,151963,High,9,50,Medium,High,2.75,No,1.8,Stable
AIJ-100048,Prompt Engineer,Retail,USA,High School,19,0.32,0.75,Hybrid,35751,Medium,43,58,Medium,Low,3.82,No,1.88,Declining
AIJ-100049,Cybersecurity Analyst,Retail,Pakistan,PhD,5,0.45,0.66,Yes,64448,Low,40,47,Medium,High,3.51,No,4.32,Stable
AIJ-100050,Prompt Engineer,Media,Pakistan,High School,25,0.73,0.38,No,207294,Low,6,47,Startup,Moderate,3.11,No,3.34,Growing
AIJ-100051,Digital Marketer,Healthcare,UAE,Master,20,0.85,0.64,No,189929,Low,-2,31,Startup,Moderate,4.99,Yes,1.39,Growing
AIJ-100052,DevOps Engineer,Government,UK,PhD,20,0.9,0.75,Yes,171608,Medium,29,43,Medium,Low,4.07,Yes,2.77,Declining
AIJ-100053,Cybersecurity Analyst,Education,Japan,High School,1,0.3,0.96,No,149201,Low,-2,55,Enterprise,Low,2.21,Yes,3.35,Declining
AIJ-100054,Cloud Architect,Technology,UK,High School,11,0.94,0.63,Yes,75743,High,10,30,Startup,Moderate,2.16,No,3.1,Growing
AIJ-100055,Digital Marketer,Government,USA,Master,14,0.51,0.29,Hybrid,162078,Low,-7,45,Medium,Moderate,4.06,No,3.85,Stable
AIJ-100056,HR Specialist,Media,Pakistan,PhD,19,0.11,0.42,Hybrid,195957,Medium,19,46,Enterprise,Moderate,2.3,Yes,4.41,Growing
AIJ-100057,Cloud Architect,Manufacturing,Australia,Master,21,0.36,0.56,No,139049,Medium,-1,51,Medium,Low,2.27,Yes,1.37,Declining
AIJ-100058,AI Engineer,Retail,Japan,Master,11,0.42,0.89,Yes,140870,High,22,36,Startup,High,3.45,Yes,2.4,Growing
AIJ-100059,Teacher,Media,USA,Master,0,0.81,0.97,Yes,192981,Medium,34,54,Medium,Moderate,3.05,Yes,4.48,Growing
AIJ-100060,Machine Learning Engineer,Manufacturing,India,Master,24,0.24,0.53,Hybrid,119363,High,-5,58,Startup,Low,2.47,Yes,3.7,Stable
AIJ-100061,Cloud Architect,Retail,Japan,PhD,16,0.73,0.29,Hybrid,142699,Medium,-8,37,Medium,High,2.16,Yes,2.21,Declining
AIJ-100062,Software Developer,Energy,Singapore,Bachelor,16,0.06,0.79,Hybrid,76057,High,41,41,Startup,Moderate,4.59,Yes,2.74,Stable
AIJ-100063,Prompt Engineer,Technology,Pakistan,Bachelor,25,0.69,0.53,Hybrid,60192,Medium,43,52,Medium,Low,3.31,Yes,1.97,Growing
AIJ-100064,Cybersecurity Analyst,Media,Canada,Bachelor,24,0.36,0.46,No,74074,Medium,36,60,Enterprise,Low,2.71,Yes,2.02,Declining
AIJ-100065,HR Specialist,Government,Pakistan,Master,4,0.73,0.8,No,147677,Low,20,44,Enterprise,Moderate,4.39,Yes,2.41,Declining
AIJ-100066,Teacher,Government,Singapore,PhD,14,0.8,0.26,Hybrid,53670,High,40,53,Startup,Moderate,4.73,Yes,2.29,Stable
AIJ-100067,Cybersecurity Analyst,Media,UK,High School,7,0.86,0.47,Hybrid,217253,Medium,18,46,Enterprise,High,2.48,No,4.67,Stable
AIJ-100068,Teacher,Finance,Pakistan,High School,18,0.55,0.51,Hybrid,96059,Low,12,39,Enterprise,High,3.99,Yes,3.38,Declining
AIJ-100069,Product Manager,Healthcare,Australia,Master,0,0.65,0.85,No,209677,Medium,1,60,Startup,Moderate,4.84,No,1.77,Declining
AIJ-100070,AI Engineer,Manufacturing,Japan,Bachelor,19,0.74,0.86,No,168027,Low,0,35,Enterprise,High,4.43,Yes,3.88,Declining
AIJ-100071,Digital Marketer,Retail,UAE,Bachelor,11,0.72,0.55,Hybrid,169987,High,18,44,Medium,Moderate,3.51,No,4.87,Declining
AIJ-100072,Product Manager,Healthcare,India,High School,24,0.38,0.94,Yes,216489,Medium,18,58,Enterprise,Low,4.49,Yes,4.79,Declining
AIJ-100073,Financial Analyst,Education,USA,Master,3,0.39,0.51,Hybrid,51392,High,11,55,Startup,Low,2.11,No,3.78,Declining
AIJ-100074,Product Manager,Energy,Canada,Master,7,0.8,0.63,No,189614,Low,-7,37,Medium,High,4.38,No,1.25,Stable
AIJ-100075,Digital Marketer,Government,Australia,Bachelor,21,0.31,0.2,Hybrid,122488,Low,23,41,Startup,High,3.63,Yes,2.56,Stable
AIJ-100076,Financial Analyst,Education,Canada,Master,4,0.72,0.48,Yes,47710,Medium,24,40,Enterprise,Low,4.49,No,4.92,Stable
AIJ-100077,AI Engineer,Manufacturing,India,PhD,17,0.31,0.23,No,82289,Medium,-8,54,Enterprise,Low,2.86,Yes,4.46,Stable
AIJ-100078,Healthcare Analyst,Finance,UAE,PhD,11,0.72,0.91,Hybrid,131356,Medium,41,32,Enterprise,Moderate,2.24,Yes,3.18,Stable
AIJ-100079,Machine Learning Engineer,Transportation,Pakistan,PhD,1,0.33,0.68,Hybrid,141703,Medium,29,43,Medium,High,4.94,Yes,1.3,Growing
AIJ-100080,Cybersecurity Analyst,Education,Pakistan,Master,12,0.66,0.55,Hybrid,63090,Low,28,34,Enterprise,Moderate,4.85,No,2.78,Declining
AIJ-100081,Data Scientist,Finance,UAE,PhD,17,0.63,0.4,Yes,59739,Medium,39,38,Enterprise,Moderate,2.64,No,3.78,Stable
AIJ-100082,Healthcare Analyst,Manufacturing,Canada,Master,9,0.21,0.76,Yes,53013,High,35,59,Enterprise,High,2.52,No,3.04,Declining
AIJ-100083,Data Engineer,Finance,Japan,High School,2,0.37,0.65,No,152527,Medium,35,53,Medium,High,3.23,No,4.29,Declining
AIJ-100084,HR Specialist,Finance,UK,PhD,16,0.66,0.47,Yes,174520,Low,23,34,Medium,Low,2.49,Yes,2.38,Growing
AIJ-100085,Data Engineer,Healthcare,Singapore,Bachelor,18,0.3,0.69,Hybrid,191068,Low,0,51,Enterprise,High,4.71,No,4.37,Growing
AIJ-100086,Business Analyst,Government,Australia,High School,15,0.9,0.81,Hybrid,99377,High,8,50,Medium,Moderate,2.73,No,2.19,Declining
AIJ-100087,Software Developer,Manufacturing,Pakistan,Master,12,0.49,0.36,Yes,189032,Medium,22,47,Startup,Moderate,2.73,Yes,2.07,Declining
AIJ-100088,Healthcare Analyst,Government,Pakistan,Bachelor,24,0.83,0.53,Yes,71864,Medium,22,44,Medium,Moderate,3.49,Yes,4.78,Growing
AIJ-100089,IoT Specialist,Retail,Singapore,High School,3,0.5,0.9,No,201510,Low,6,53,Medium,Moderate,3.1,No,1.2,Growing
AIJ-100090,Teacher,Government,Canada,Bachelor,3,0.5,0.8,No,103327,Medium,40,40,Enterprise,Moderate,4.26,Yes,3.41,Stable
AIJ-100091,Blockchain Developer,Finance,Japan,Bachelor,10,0.69,0.84,Hybrid,166139,Medium,0,42,Enterprise,High,4.53,No,3.03,Growing
AIJ-100092,Data Scientist,Government,UAE,Master,20,0.15,0.53,Hybrid,110655,High,4,53,Startup,High,3.44,No,1.59,Growing
AIJ-100093,Business Analyst,Energy,Singapore,PhD,23,0.45,0.53,Hybrid,138255,Low,35,34,Enterprise,Low,3.68,No,3.1,Stable
AIJ-100094,UX Designer,Government,UAE,Bachelor,7,0.74,0.77,No,198639,High,9,37,Medium,Moderate,4.11,No,2.27,Stable
AIJ-100095,Robotics Engineer,Technology,India,High School,11,0.79,0.95,No,68397,High,6,53,Medium,Low,2.61,No,4.73,Growing
AIJ-100096,Digital Marketer,Technology,Canada,PhD,10,0.65,0.62,Hybrid,197233,Medium,-4,51,Startup,Low,4.89,Yes,2.63,Stable
AIJ-100097,Digital Marketer,Media,USA,Bachelor,13,0.87,0.27,Yes,180505,Low,43,42,Medium,Low,4.81,No,4.51,Declining
AIJ-100098,Product Manager,Transportation,India,Bachelor,25,0.54,0.59,Yes,65179,Medium,0,53,Medium,High,2.77,Yes,1.06,Stable
AIJ-100099,Cloud Architect,Finance,UK,PhD,10,0.51,0.27,Yes,205441,Low,6,42,Startup,Moderate,4.26,No,2.21,Growing
AIJ-100100,Machine Learning Engineer,Energy,Singapore,Master,22,0.11,0.29,Yes,110427,High,8,41,Enterprise,Low,2.66,Yes,2.91,Stable
AIJ-100101,Product Manager,Transportation,Singapore,Master,2,0.66,0.67,Hybrid,51461,Low,-7,56,Enterprise,High,2.61,Yes,1.66,Growing
AIJ-100102,DevOps Engineer,Transportation,Japan,High School,17,0.78,0.56,No,164544,High,41,39,Enterprise,Low,3.19,Yes,3.98,Growing
AIJ-100103,Cybersecurity Analyst,Transportation,USA,Master,13,0.68,0.63,Yes,45795,Low,39,50,Enterprise,High,4.89,No,4.97,Stable
AIJ-100104,Machine Learning Engineer,Media,Australia,Bachelor,23,0.17,0.88,Yes,61098,Low,38,30,Medium,Moderate,4.02,No,3.13,Declining
AIJ-100105,AI Engineer,Energy,Japan,High School,7,0.22,0.89,Yes,59581,Low,-4,49,Startup,Moderate,3.79,Yes,1.98,Declining
AIJ-100106,Digital Marketer,Government,Pakistan,Master,7,0.1,0.6,No,105828,Low,32,46,Startup,Moderate,2.9,Yes,3.23,Growing
AIJ-100107,Healthcare Analyst,Energy,Australia,Bachelor,9,0.9,0.73,No,167484,Low,38,47,Medium,Low,4.55,No,4.43,Declining
AIJ-100108,Cybersecurity Analyst,Transportation,Pakistan,High School,17,0.4,0.4,Hybrid,116576,Low,-7,38,Medium,High,3.81,Yes,4.49,Declining
AIJ-100109,Cloud Architect,Transportation,Germany,Bachelor,12,0.91,0.21,Yes,79813,High,10,54,Medium,Moderate,3.4,No,2.23,Stable
AIJ-100110,AI Engineer,Government,Germany,Bachelor,0,0.87,0.49,No,138509,High,27,48,Enterprise,Moderate,2.89,Yes,2.32,Stable
AIJ-100111,IoT Specialist,Transportation,UK,Master,5,0.79,0.96,Yes,198216,High,24,45,Startup,High,4.97,Yes,3.1,Declining
AIJ-100112,Software Developer,Technology,Germany,PhD,11,0.81,0.38,Yes,215380,High,30,51,Enterprise,Moderate,3.98,Yes,1.03,Growing
AIJ-100113,Machine Learning Engineer,Healthcare,Canada,Bachelor,7,0.5,0.75,Yes,142872,High,23,38,Medium,Moderate,4.38,Yes,2.49,Stable
AIJ-100114,Cybersecurity Analyst,Energy,Australia,PhD,17,0.64,0.88,No,38305,Low,30,30,Enterprise,Low,2.25,No,3.58,Stable
AIJ-100115,IoT Specialist,Retail,USA,High School,21,0.24,0.89,No,178579,High,26,51,Startup,Low,4.79,No,1.06,Declining
AIJ-100116,Data Engineer,Manufacturing,Australia,Bachelor,25,0.56,0.65,Hybrid,132015,High,-5,46,Enterprise,Moderate,2.16,No,1.93,Declining
AIJ-100117,Financial Analyst,Media,Australia,PhD,5,0.76,0.56,Hybrid,89805,High,32,42,Startup,High,2.89,Yes,3.85,Declining
AIJ-100118,Robotics Engineer,Transportation,Pakistan,Master,3,0.34,0.28,Yes,31361,Low,1,43,Medium,High,3.66,No,1.41,Declining
AIJ-100119,Data Engineer,Education,Japan,Bachelor,21,0.06,0.53,No,52203,Low,-2,38,Medium,Moderate,3.48,Yes,1.67,Stable
AIJ-100120,Business Analyst,Transportation,Canada,Bachelor,9,0.7,0.59,Yes,191656,Medium,11,56,Enterprise,Moderate,4.41,No,2.76,Stable
AIJ-100121,Robotics Engineer,Transportation,Japan,Bachelor,10,0.33,0.96,No,113660,Medium,42,55,Medium,Moderate,2.34,Yes,3.37,Growing
AIJ-100122,Cybersecurity Analyst,Energy,UAE,Bachelor,20,0.24,0.83,No,211622,Low,6,51,Startup,High,3.27,No,1.3,Growing
AIJ-100123,Teacher,Healthcare,Canada,Bachelor,21,0.92,0.75,Hybrid,170746,Medium,0,50,Enterprise,Low,3.69,No,4.87,Stable
AIJ-100124,HR Specialist,Education,UAE,Master,12,0.72,0.64,No,210267,High,27,52,Enterprise,Low,3.03,Yes,2.93,Stable
AIJ-100125,Financial Analyst,Transportation,Canada,PhD,23,0.46,0.36,Hybrid,156596,Medium,10,32,Medium,Low,4.43,Yes,1.09,Stable
AIJ-100126,Blockchain Developer,Education,Australia,Bachelor,5,0.55,0.46,Hybrid,141770,High,17,42,Startup,High,3.84,Yes,2.8,Stable
AIJ-100127,Data Engineer,Finance,Pakistan,Master,6,0.78,0.25,No,56673,Low,6,51,Medium,High,4.9,No,3.39,Growing
AIJ-100128,Teacher,Government,Canada,Bachelor,10,0.21,0.73,Yes,107973,Low,9,33,Startup,Moderate,4.08,No,2.67,Declining
AIJ-100129,Data Engineer,Finance,UAE,Master,4,0.88,0.94,Yes,75412,Medium,43,44,Enterprise,Low,4.6,Yes,2.94,Declining
AIJ-100130,Machine Learning Engineer,Healthcare,Japan,High School,25,0.42,0.86,Yes,158109,Medium,-8,38,Startup,High,2.87,No,3.26,Stable
AIJ-100131,Blockchain Developer,Media,Germany,PhD,3,0.54,0.8,Hybrid,218476,High,38,37,Medium,Low,3.35,No,4.45,Declining
AIJ-100132,DevOps Engineer,Finance,Japan,Bachelor,25,0.67,0.88,Yes,189976,Low,41,31,Enterprise,Moderate,3.6,Yes,2.29,Growing
AIJ-100133,Software Developer,Finance,Germany,Bachelor,22,0.76,0.93,No,102698,Low,38,56,Enterprise,Moderate,3.47,No,3.51,Stable
AIJ-100134,IoT Specialist,Manufacturing,Japan,High School,24,0.68,0.89,Hybrid,149195,Low,36,44,Enterprise,High,4.09,Yes,4.18,Stable
AIJ-100135,HR Specialist,Finance,Japan,PhD,25,0.34,0.42,No,173474,High,38,31,Startup,Low,3.88,No,1.07,Declining
AIJ-100136,Cybersecurity Analyst,Manufacturing,India,High School,11,0.84,0.44,Hybrid,101832,High,0,31,Medium,High,2.92,Yes,2.72,Declining
AIJ-100137,Blockchain Developer,Technology,USA,Master,3,0.12,0.67,No,166169,High,-2,45,Startup,Low,3.15,Yes,1.41,Stable
AIJ-100138,Teacher,Finance,UAE,Master,23,0.18,0.62,Yes,32221,High,37,34,Medium,High,4.06,Yes,1.35,Declining
AIJ-100139,Cybersecurity Analyst,Education,Singapore,Master,24,0.33,0.31,Hybrid,102605,Low,44,57,Enterprise,Moderate,2.62,Yes,3.99,Stable
AIJ-100140,Cybersecurity Analyst,Media,USA,Master,10,0.15,0.59,Yes,185695,Medium,45,56,Enterprise,Moderate,3.1,Yes,4.05,Declining
AIJ-100141,Product Manager,Retail,Singapore,PhD,13,0.24,0.93,Hybrid,134326,Medium,-5,50,Enterprise,High,3.85,No,1.33,Declining
AIJ-100142,Cybersecurity Analyst,Retail,Australia,Bachelor,1,0.62,0.86,Yes,208534,Low,17,33,Medium,High,3.83,No,3.66,Growing
AIJ-100143,Product Manager,Media,India,Bachelor,11,0.06,0.59,Yes,120886,High,39,57,Medium,High,4.66,Yes,2.34,Stable
AIJ-100144,Financial Analyst,Technology,UAE,Bachelor,11,0.61,0.59,Yes,163898,Medium,39,33,Enterprise,High,4.17,Yes,3.96,Declining
AIJ-100145,Machine Learning Engineer,Technology,Singapore,PhD,7,0.47,0.5,No,69343,Low,16,59,Enterprise,Moderate,2.81,Yes,3.29,Declining
AIJ-100146,Robotics Engineer,Retail,Pakistan,High School,17,0.91,0.25,No,151921,Low,13,36,Medium,High,4.35,Yes,2.86,Growing
AIJ-100147,Data Scientist,Manufacturing,USA,PhD,23,0.26,0.47,Hybrid,211786,Medium,-4,36,Enterprise,Low,3.26,Yes,4.89,Declining
AIJ-100148,Blockchain Developer,Healthcare,Japan,High School,16,0.52,0.75,Yes,127646,High,42,42,Startup,High,3.7,No,3.65,Declining
AIJ-100149,Healthcare Analyst,Transportation,India,Bachelor,2,0.77,0.75,Yes,115524,Low,39,54,Enterprise,Low,2.47,Yes,2.8,Stable
AIJ-100150,Robotics Engineer,Government,USA,Bachelor,10,0.29,0.29,Yes,71317,Low,35,37,Medium,Moderate,3.54,No,2.04,Declining
AIJ-100151,Cloud Architect,Technology,USA,Bachelor,4,0.14,0.28,Yes,66645,Medium,13,51,Enterprise,High,2.25,No,4.67,Declining
AIJ-100152,Cloud Architect,Technology,UAE,High School,5,0.78,0.27,Hybrid,116913,Medium,42,53,Medium,Moderate,2.09,No,1.69,Declining
AIJ-100153,Digital Marketer,Retail,UAE,PhD,17,0.18,0.69,No,191736,Low,-5,38,Medium,Low,3.26,Yes,3.52,Growing
AIJ-100154,Product Manager,Manufacturing,Australia,Master,5,0.54,0.58,Yes,178282,Medium,28,37,Startup,Moderate,2.18,No,3.12,Growing
AIJ-100155,Digital Marketer,Government,Australia,Master,5,0.27,0.62,Yes,44656,Low,27,40,Enterprise,High,3.08,Yes,3.81,Stable
AIJ-100156,Teacher,Education,USA,PhD,0,0.49,0.27,No,90980,High,2,55,Startup,Moderate,4.15,No,1.24,Declining
AIJ-100157,HR Specialist,Healthcare,Pakistan,Master,10,0.39,0.94,Yes,133703,Low,36,60,Medium,High,4.88,No,1.7,Growing
AIJ-100158,HR Specialist,Energy,Japan,High School,5,0.67,0.3,Hybrid,30471,Medium,41,60,Enterprise,Low,3.92,Yes,4.75,Declining
AIJ-100159,Healthcare Analyst,Transportation,USA,Master,6,0.62,0.96,Yes,215851,High,-6,41,Medium,Low,4.16,Yes,2.54,Growing
AIJ-100160,HR Specialist,Education,UK,PhD,2,0.54,0.28,Yes,155695,Medium,-9,40,Medium,Low,2.22,Yes,4.55,Declining
AIJ-100161,Data Scientist,Energy,UK,PhD,5,0.58,0.68,Yes,156546,Low,11,36,Startup,Moderate,4.09,No,3.64,Stable
AIJ-100162,Financial Analyst,Technology,Australia,High School,9,0.54,0.59,Hybrid,44288,High,28,45,Startup,Low,2.08,Yes,3.55,Declining
AIJ-100163,Machine Learning Engineer,Manufacturing,Australia,Master,5,0.29,0.71,No,131587,Low,6,44,Medium,Moderate,2.68,No,3.26,Declining
AIJ-100164,AI Engineer,Energy,Singapore,PhD,17,0.92,0.67,Hybrid,175123,Medium,26,58,Startup,Moderate,2.9,No,4.61,Growing
AIJ-100165,Machine Learning Engineer,Education,Germany,Bachelor,1,0.16,0.8,No,75319,Low,33,43,Startup,High,2.44,No,2.28,Growing
AIJ-100166,Blockchain Developer,Technology,Japan,PhD,3,0.55,0.88,No,166233,Low,-1,48,Enterprise,High,4.28,Yes,4.7,Growing
AIJ-100167,Teacher,Transportation,USA,Bachelor,8,0.29,0.72,No,179952,Low,29,49,Enterprise,High,3.21,No,4.56,Stable
AIJ-100168,Robotics Engineer,Retail,UAE,High School,7,0.39,0.47,Yes,109444,Medium,37,44,Medium,Moderate,4.19,Yes,1.75,Declining
AIJ-100169,Product Manager,Energy,UK,High School,5,0.76,0.25,Yes,216009,Low,43,31,Startup,Low,3.37,No,3.82,Stable
AIJ-100170,Teacher,Transportation,UK,PhD,18,0.66,0.39,Hybrid,158132,Medium,12,35,Medium,High,4.49,Yes,2.14,Stable
AIJ-100171,DevOps Engineer,Media,USA,High School,15,0.63,0.74,Yes,100538,High,1,49,Startup,Low,2.76,No,3.85,Growing
AIJ-100172,Teacher,Energy,Japan,High School,0,0.25,0.44,Hybrid,166482,High,43,56,Medium,High,3.94,No,2.19,Declining
AIJ-100173,Robotics Engineer,Education,UK,Bachelor,1,0.29,0.76,Hybrid,200778,Medium,32,40,Enterprise,Low,4.16,No,4.99,Stable
AIJ-100174,Digital Marketer,Media,UAE,Master,16,0.78,0.47,No,217005,Low,43,51,Enterprise,Low,2.88,No,1.51,Stable
AIJ-100175,Healthcare Analyst,Manufacturing,India,Master,14,0.25,0.89,Yes,140224,Medium,-7,57,Enterprise,High,3.74,Yes,2.89,Declining
AIJ-100176,Software Developer,Education,Pakistan,PhD,18,0.42,0.89,No,69525,Low,10,57,Enterprise,Low,4.34,No,2.33,Declining
AIJ-100177,IoT Specialist,Healthcare,UK,PhD,20,0.74,0.33,No,71532,Medium,17,60,Medium,Moderate,2.01,Yes,3.92,Declining
AIJ-100178,Financial Analyst,Retail,UK,High School,12,0.61,0.4,Hybrid,211803,High,9,35,Startup,Low,2.89,No,2.82,Growing
AIJ-100179,Data Scientist,Education,Germany,Bachelor,6,0.37,0.35,Hybrid,135746,Low,27,46,Startup,Low,3.1,Yes,2.5,Growing
